Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
D_74,D,D_SOD-123,438.275000,-212.850000,90.000000,bottom
D_75,D,D_SOD-123,456.500000,-234.300000,90.000000,bottom
D_76,D,D_SOD-123,456.275000,-253.375000,90.000000,bottom
D_77,D,D_SOD-123,443.525000,-172.407000,90.000000,bottom
D_78,D,D_SOD-123,443.225000,-191.425000,90.000000,bottom
D_79,D,D_SOD-123,441.375000,-212.875000,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,273.600000,-180.050000,180.000000,bottom
R1,22,R_0805_2012Metric,272.600000,-174.149000,90.000000,bottom
R2,22,R_0805_2012Metric,274.775600,-174.149000,90.000000,bottom
R3,10k,R_0805_2012Metric,458.250000,-183.125000,90.000000,bottom
R4,10k,R_0805_2012Metric,439.780000,-202.900000,315.000000,bottom
R5,5.1k,R_0805_2012Metric,266.800000,-164.025000,0.000000,bottom
R6,5.1k,R_0805_2012Metric,280.475000,-164.025000,180.000000,bottom
SW1,SW_Push,SKQG-1155865,456.400000,-176.525000,90.000000,bottom
U1,ATmega32U4-AU,TQFP-44_10x10mm_P0.8mm,449.875000,-201.875000,135.0,bottom
U2,SRV05-4,SOT-23-6,273.750000,-167.800000,0.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,273.800000,-153.900000,0.000000,bottom
Y1,16MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,453.479500,-212.632000,45.000000,bottom
